,description,label
1,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
2,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
3,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
4,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
5,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
6,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
7,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
8,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
9,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
10,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
